YY1,-1,FOS,FOSB,IRF7,STAT6,ND,ND,ND,ND,ND,ND,ND,ND
ZNF238,1,CBFB,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ZNF238,-1,DDIT3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BCL2,-1,SPI1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
CR595360,1,BCL6,ETS1,KLF4,MAFB,PPARG,ND,ND,ND,ND,ND,ND,ND
CR595360,-1,CEBPD,KLF13,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
FUS,1,BCL6,E2F2,ETS1,FOS,ID1,KLF4,MAFB,NFATC2,PPARD,PRDM1,RARA,RARG
FUS,1,RREB1,SMAD4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
FUS,-1,MYB,NRAS,TCFL5,ND,ND,ND,ND,ND,ND,ND,ND,ND
NRAS,1,BRCA1,E2F1,E2F2,MCM7,MYC,ND,ND,ND,ND,ND,ND,ND
NRAS,-1,BCL6,DDIT3,HOXA11,KLF4,SOX5,SPIB,TCFL5,ND,ND,ND,ND,ND
PRPF31,1,BCL6,CR595360,ETS1,FOXD1,IRF7,IRF8,MAFB,PPARD,PRDM1,RARA,RARG,SNAI3
PRPF31,1,YY1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
PRPF31,-1,NRAS,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
