Parent X. Child Weight Probability
spc24 -> spc25 0.319713 1
mrc1b -> thyn1 0.319522 1
pcbd1 -| cenpn -0.319435 1
slc2a6 -> cth 0.318957 1
pdcd2l -> tyw3 0.318741 1
ms4a17a.10 -> fam26f 0.318633 1
si:ch211-113a14.28 -> atic 0.318368 1
nsl1 -> ncaph2 0.318303 1
slc2a6 -> mthfd1b 0.318205 1
c24h7orf50 -| cdk1 -0.317953 1
znhit3 -> zgc:173915 0.317894 1
si:ch73-237c6.1 -| si:dkey-6i22.5 -0.31765 1
anxa1a -| mrc1b -0.317522 1
c24h7orf50 -| LOC100334934 -0.317403 1
znhit3 -> si:dkey-6i22.5 0.317396 1
znhit3 -> hexb 0.317364 1
krcp -> ccna2 0.317044 1
c24h7orf50 -| spc24 -0.316651 1
atic -> nip7 0.316557 1
ppardb -> zgc:136564 0.316511 1
si:dkeyp-87d8.8 -| ncf2 -0.316277 1
amt -> prc1b 0.316227 1
rrm2 -> znhit3 0.315864 1
ms4a17a.10 -| nkain1 -0.315689 1
anxa1a -> haus1 0.315558 1
ms4a17a.10 -> csf1rb 0.314648 1
znhit3 -> chchd10 0.314344 1
zgc:153405 -| atad5a -0.31185 1
gtse1 -> cenph 0.31116 1
runx1 -> dtymk 0.310518 1
zgc:153405 -| esco2 -0.310208 1
n6amt2 -> lamb1b 0.309881 1
e2f8 -> si:ch211-161h7.4 0.30974 1
c24h7orf50 -| LOC100148591 -0.308563 1
cecr1b -> si:ch73-237c6.1 0.308421 1
gnai2b -> nip7 0.30837 1
slc25a15a -> gpr183a 0.307973 1
si:dkey-261m9.17 -| haus1 -0.307458 1
phkg1a -> si:ch211-284o19.8 0.306971 1
tcea3 -> cenph 0.306446 1
cdca7b -> cbsa 0.306227 1
mfap4 -> c1qa 0.306202 1
mis18a -| rad51 -0.305681 1
mis18a -| si:dkey-6i22.5 -0.305548 1
si:dkey-88e18.2 -> si:dkey-111e8.5 0.304805 1
aurkb -| pbk -0.304411 1
zgc:173552 -> tfb1m 0.304325 1
zgc:110224 -> pus1 0.303734 1
c1qa -> LOC100148591 0.303645 1
e2f7 -> cenph 0.303643 1
zgc:153405 -| poln -0.303546 1
e2f7 -> mnd1 0.303215 1
esco2 -> ube2t 0.302929 1
amt -> ncapd2 0.302357 1
wdr74 -> ube2t 0.301892 1
amt -> wdr74 0.300839 1
ms4a17a.10 -> si:dkey-22a1.3 0.300308 1
mis12 -| ponzr1 -0.300163 1
cbsa -> tomm40l 0.29947 1
LOC100334934 -> mis12 0.298935 1
csf1rb -> ncaph 0.298565 1
si:ch211-113a14.28 -> zgc:110224 0.298484 1
ddit4 -> znhit3 0.298441 1
si:ch211-266i6.3 -> slc29a2 0.29838 1
primpol -> ndc80 0.298258 1
prc1b -> mrc1b 0.297957 1
primpol -> nsl1 0.29794 1
aurkb -> haus5 0.297848 1
pdcd2l -> atp1a3a 0.297463 1
krcp -> si:ch211-113a14.18 0.29741 1
cenph -> mrps35 0.296942 1
gig2q -| cenph -0.296721 1
primpol -> si:ch211-161h7.4 0.296583 1
znhit3 -> si:ch211-284o19.8 0.296196 1
mis12 -| atad5a -0.296034 1
