SourceGENES,TargetGENES,Interaction,Edges
MYEF2,PRDM1,0.0674689409537726,repression
RXRB,TFPT,0.0666321296245982,activation
EGR2,RREB1,0.0664600050050944,repression
LMO2,MYEF2,0.0662932283446882,activation
CBFB,BCL6,0.0660474180939492,repression
IRF8,KLF13,0.0659464817711306,repression
PRDM1,EGR2,0.0658912497915973,activation
FOS,SPIB,0.0658669312594981,activation
SPIB,RREB1,0.0657130994551366,activation
SPI1,RREB1,0.0656487154989881,activation
LMO2,PPARG,0.0655953665085195,activation
NFYC,NFATC1,0.0654232873368269,repression
UHRF1,CBFB,0.0654109317095795,repression
RXRB,VDR,0.0653108996547697,repression
PPARD,NFATC2,0.0649655097356975,repression
LMO2,BCL6,0.0647059174130059,activation
CEBPD,BCL6,0.0645937048430457,repression
PPARD,SMAD4,0.064534233164972,activation
CEBPD,SNAI3,0.0642527426446239,repression
PPARD,HOXA10,0.0640980878005593,repression
NFATC1,JUN,0.0635669701487336,repression
UHRF1,SNAI1,0.0634074476035507,repression
FOS,ETS1,0.0629349462955583,activation
LMO2,CEBPB,0.0629280799242327,activation
LMO2,SMAD3,0.0625462291525936,activation
IRF8,BCL6,0.0624764158280512,repression
PPARD,RXRB,0.0623582054581515,activation
STAT1,KLF13,0.0622053924699452,repression
CEBPD,PPARD,0.0621921129125263,activation
MYEF2,UHRF1,0.0615266708012792,activation
RXRB,BCL6,0.0614037114913351,activation
UHRF1,IRF8,0.0611393993665364,activation
FOSB,KLF13,0.0608476009293747,activation
CEBPD,PPARG,0.0605158352301959,repression
NFATC1,KLF13,0.0603039502661388,repression
MYEF2,CBFB,0.0602141429555675,activation
ETS1,KLF13,0.0598390393720112,activation
PPARD,MAFB,0.0596907669024581,repression
CEBPD,FOSB,0.0593675430312041,repression
MYEF2,SNAI1,0.0592822582096266,activation
EGR2,LMO2,0.0592146433677963,repression
SPI1,LMO2,0.0590837219146858,activation
NFATC1,BCL6,0.058889554385819,activation
SPIB,LMO2,0.0587162070399851,repression
NFYA,FOS,0.0585546989964347,repression
RXRB,PRDM1,0.0579446719407446,activation
CBFB,PPARG,0.0574705584621342,repression
CEBPD,MYEF2,0.0573697529855854,activation
UHRF1,NFATC2,0.0573334783371829,activation
UHRF1,SMAD4,0.0570891504830676,activation
LMO2,VDR,0.0570393946749067,activation
PPARD,STAT1,0.056910588754356,activation
LMO2,TFPT,0.0567801257398939,repression
MYEF2,IRF8,0.0565990964086499,activation
CEBPD,NFE2L1,0.0564558248264942,activation
PPARD,TCFL5,0.0561463559490625,repression
CBFB,PPARD,0.0561185191164561,activation
UHRF1,HOXA10,0.0560385301607759,activation
PPARD,MYB,0.0558991813131807,activation
EGR2,KLF10,0.0555660422811629,activation
PPARD,HOXA13,0.0553980969600196,activation
SPI1,KLF10,0.0552880923850675,activation
NFYC,JUN,0.0550082447104366,activation
PPARD,TRIM28,0.0549752264029144,activation
FOSB,BCL6,0.0548708592946995,repression
SPIB,KLF10,0.0547463731635167,activation
PPARD,SP3,0.0545996249337304,activation
CBFB,SNAI3,0.0545458394121044,activation
RXRB,UHRF1,0.0544425769388746,activation
PPARD,SPI1,0.0543377197783189,repression
UHRF1,RXRB,0.0542340963667838,activation
MYEF2,NFATC2,0.0538629069371173,repression
RXRB,SNAI1,0.0536058324942713,activation
RXRB,CBFB,0.0535555291532212,activation
PPARD,NFYA,0.05340877542953,activation
IRF8,PPARG,0.0533364680260189,repression
MYEF2,SMAD4,0.053296538207797,activation
STAT1,BCL6,0.0532398061518361,activation
CEBPD,CEBPB,0.0531696344284117,repression
LMO2,PRDM1,0.0530317145710008,activation
NFYA,NFATC1,0.0528398331314613,activation
UHRF1,MAFB,0.0527081112620818,repression
CEBPD,SMAD3,0.0523233411170641,activation
CBFB,FOSB,0.0521786038332392,activation
